Senior Citizen,Partner,Dependents,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Contract_Month-to-month,Contract_One year,Contract_Two year,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,service_count,avg_monthly_value,revenue_per_month,engagement_score,is_new_customer,contract_risk,payment_risk,monthly_x_tenure,has_internet,has_family,low_engagement,high_risk,cluster,segment,churn_probability,churn_prediction,predicted_value,value_score,recommended_action,customer_category,customer_id_display
0,0,0,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Electronic check,86.45,830.85,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,75.53181818181818,86.45,20.790000000000003,1,2,1,864.5,1,0,1,0,1,Low Value New,0.6215726039602645,1,480.3224,0.10401776, Retention Campaign (Email / Promotion),At-Risk Low Value,531
0,0,0,1,No,DSL,No,No,No,No,No,No,month-to-month,1,Mailed check,45.3,45.3,1,True,False,False,True,False,False,False,False,False,True,0-1 year,1,22.65,45.3,9.86,1,2,0,45.3,1,0,1,0,2,At Risk Customers,0.525614751179836,1,152.45412,0.06818685, Maintain / Monitor,Stable Customer,532
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,one year,0,Electronic check,104.1,7040.85,1,False,True,False,False,True,False,False,False,True,False,4-6 years,1,103.54191176470589,104.1,41.42,0,1,1,6974.7,1,0,1,0,0,High Value Loyal,0.2744962016233732,0,6820.6387,0.7969159, Upsell / Premium Offer,Loyal High Value,533
1,1,0,1,Yes,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,81.0,371.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,61.94166666666666,81.0,18.2,1,2,1,405.0,1,0,1,0,1,Low Value New,0.8087067614376258,1,210.89523,0.074573554, Retention Campaign (Email / Promotion),At-Risk Low Value,534
0,1,0,1,No,Fiber optic,Yes,Yes,No,No,No,Yes,one year,1,Credit card (automatic),90.6,6056.15,1,False,True,False,False,True,False,False,True,False,False,4-6 years,1,89.06102941176471,90.6,38.72,0,1,0,6070.2,1,0,1,0,0,High Value Loyal,0.1978719528595076,0,4178.5615,0.5081779, Maintain / Monitor,Stable Customer,535
0,1,0,1,No,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,0,Electronic check,88.15,1390.6,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,86.9125,88.15,22.630000000000003,0,2,1,1322.25,1,0,1,0,1,Low Value New,0.5590587660297206,1,1983.1091,0.268249, Maintain / Monitor,Stable Customer,536
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,1,Mailed check,20.2,20.2,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,10.1,20.2,4.84,1,2,0,20.2,0,0,1,0,2,At Risk Customers,0.3031596319694749,0,67.05919,0.058854505, Maintain / Monitor,Stable Customer,537
0,1,0,1,No,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,90.8,2361.8,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,87.47407407407408,90.8,26.46,0,2,1,2360.8,1,0,1,0,1,Low Value New,0.6299668598896092,1,3667.072,0.45228004, Retention Campaign (Email / Promotion),At-Risk Low Value,538
0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,79.35,1730.35,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,75.23260869565217,79.35,22.97,0,2,1,1745.6999999999998,1,0,1,0,1,Low Value New,0.5034295406831519,1,2058.5188,0.27649012, Maintain / Monitor,Stable Customer,539
1,0,0,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),96.8,2030.3,1,True,False,False,False,True,False,True,False,False,False,1-2 years,1,92.28636363636365,96.8,26.16,0,2,0,2032.8,1,0,1,0,1,Low Value New,0.5675719730912258,1,2472.5237,0.32173443, Maintain / Monitor,Stable Customer,540
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,month-to-month,1,Bank transfer (automatic),83.35,4065.0,1,True,False,False,False,True,False,True,False,False,False,2-4 years,1,84.6875,83.35,31.27,0,2,0,3917.45,1,0,1,0,0,High Value Loyal,0.3594133185222629,1,2879.6062,0.36622223, Maintain / Monitor,Stable Customer,541
0,0,0,1,Yes,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,49.4,106.55,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,35.516666666666666,49.4,10.98,1,2,1,98.8,1,0,1,0,2,At Risk Customers,0.5468557828555095,1,148.22258,0.06772441, Maintain / Monitor,Stable Customer,542
0,1,0,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,month-to-month,1,Electronic check,79.2,1742.75,1,True,False,False,True,False,False,False,False,True,False,1-2 years,1,75.77173913043478,79.2,22.94,0,2,1,1742.4,1,0,1,0,1,Low Value New,0.5689677143498475,1,2348.6624,0.3081983, Maintain / Monitor,Stable Customer,543
0,1,0,1,No,DSL,No,No,Yes,No,No,No,month-to-month,0,Electronic check,48.7,340.25,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,42.53125,48.7,12.340000000000002,1,2,1,340.90000000000003,1,0,1,0,2,At Risk Customers,0.4242642306621408,1,235.79938,0.07729519, Maintain / Monitor,Stable Customer,544
0,0,0,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.6,95.6,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,47.8,95.6,19.92,1,2,1,95.6,1,0,1,0,1,Low Value New,0.929821603740536,1,636.0404,0.121035315, Retention Campaign (Email / Promotion),At-Risk Low Value,545
0,0,0,1,Yes,DSL,Yes,Yes,No,No,No,No,month-to-month,1,Credit card (automatic),59.75,2934.3,1,True,False,False,True,False,False,False,True,False,False,4-6 years,1,58.68600000000001,59.75,27.15,0,2,0,2927.75,1,0,1,0,1,Low Value New,0.1644087177082618,0,2001.7894,0.2702905, Maintain / Monitor,Stable Customer,546
1,0,0,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,month-to-month,1,Credit card (automatic),108.15,4600.7,1,True,False,False,False,True,False,False,True,False,False,2-4 years,1,104.56136363636364,108.15,35.03,0,2,0,4650.45,1,0,1,0,0,High Value Loyal,0.5529691665086,1,4448.002,0.5376235, Maintain / Monitor,Stable Customer,547
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,71.35,71.35,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,35.675,71.35,15.07,1,2,1,71.35,1,0,1,0,1,Low Value New,0.7654368755769734,1,274.773,0.081554405, Retention Campaign (Email / Promotion),At-Risk Low Value,548
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,1,Mailed check,20.15,20.15,1,True,False,False,False,False,True,False,False,False,True,0-1 year,1,10.075,20.15,4.83,1,2,0,20.15,0,0,1,0,2,At Risk Customers,0.3027062623543528,0,80.97196,0.060374957, Maintain / Monitor,Stable Customer,549
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Bank transfer (automatic),69.75,69.75,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,34.875,69.75,14.750000000000002,1,2,0,69.75,1,0,1,0,1,Low Value New,0.6883664797292216,1,344.08545,0.08912917, Retention Campaign (Email / Promotion),At-Risk Low Value,550
1,1,0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,93.2,2931.0,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,88.81818181818181,93.2,28.74,0,2,1,2982.4,1,0,1,0,1,Low Value New,0.6390307573272113,1,2370.1719,0.31054896, Retention Campaign (Email / Promotion),At-Risk Low Value,551
0,1,0,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,0,Electronic check,80.85,1400.85,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,77.82499999999999,80.85,21.77,0,2,1,1374.4499999999998,1,0,1,0,1,Low Value New,0.5138462943943969,1,1957.859,0.26548958, Maintain / Monitor,Stable Customer,552
0,0,0,0,No,DSL,Yes,Yes,No,No,No,No,month-to-month,1,Electronic check,33.65,137.85,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,27.57,33.65,7.930000000000001,1,2,1,134.6,1,0,1,0,3,Premium Customers,0.6258562529647318,1,141.05276,0.06694086, Retention Campaign (Email / Promotion),At-Risk Low Value,553
0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,79.95,79.95,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.975,79.95,16.790000000000003,1,2,1,79.95,1,0,1,0,1,Low Value New,0.8712371883703426,1,386.8142,0.093798764, Retention Campaign (Email / Promotion),At-Risk Low Value,554
0,0,0,1,No,No,No,No,No,No,No,No,month-to-month,0,Electronic check,19.3,19.3,1,True,False,False,False,False,True,False,False,True,False,0-1 year,1,9.65,19.3,4.66,1,2,1,19.3,0,0,1,0,2,At Risk Customers,0.2871318591806039,0,74.886955,0.05970996, Maintain / Monitor,Stable Customer,555
0,1,0,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,one year,1,Electronic check,99.2,3754.6,1,False,True,False,False,True,False,False,False,True,False,2-4 years,1,98.80526315789471,99.2,31.440000000000005,0,1,1,3670.4,1,0,1,0,0,High Value Loyal,0.4308628416256166,1,4727.7334,0.56819385, Maintain / Monitor,Stable Customer,556
0,1,0,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,1,Credit card (automatic),85.2,627.4,1,True,False,False,False,True,False,False,True,False,False,0-1 year,1,69.71111111111111,85.2,19.94,1,2,0,681.6,1,0,1,0,1,Low Value New,0.7297057630657329,1,755.8793,0.13413185, Retention Campaign (Email / Promotion),At-Risk Low Value,557
0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,0,Electronic check,75.25,242.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,60.5,75.25,16.45,1,2,1,225.75,1,0,1,0,1,Low Value New,0.6202176578834797,1,524.7131,0.10886897, Retention Campaign (Email / Promotion),At-Risk Low Value,558
0,0,0,1,Yes,DSL,No,No,Yes,No,No,No,month-to-month,0,Electronic check,54.35,54.35,1,True,False,False,True,False,False,False,False,True,False,0-1 year,1,27.175,54.35,11.670000000000002,1,2,1,54.35,1,0,1,0,2,At Risk Customers,0.6112912287729931,1,272.08585,0.08126073, Retention Campaign (Email / Promotion),At-Risk Low Value,559
0,1,0,0,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,24.95,100.4,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,16.733333333333334,24.95,6.49,1,2,1,124.75,1,0,1,0,3,Premium Customers,0.6517179999499909,1,151.1282,0.06804194, Retention Campaign (Email / Promotion),At-Risk Low Value,560
0,1,0,0,No,DSL,Yes,Yes,Yes,No,No,No,one year,1,Electronic check,42.35,1716.45,1,False,True,False,True,False,False,False,False,True,False,2-4 years,0,41.864634146341466,42.35,20.47,0,1,1,1694.0,1,0,1,0,3,Premium Customers,0.2534065899789656,0,2104.7266,0.28153992, Maintain / Monitor,Stable Customer,561
0,0,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,75.3,75.3,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,37.65,75.3,15.86,1,2,1,75.3,1,0,1,0,1,Low Value New,0.8471306772600579,1,253.73317,0.079255074, Retention Campaign (Email / Promotion),At-Risk Low Value,562
0,0,0,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,one year,1,Electronic check,94.8,4837.6,1,False,True,False,False,True,False,False,False,True,False,4-6 years,1,93.03076923076924,94.8,34.76,0,1,1,4834.8,1,0,1,0,0,High Value Loyal,0.2852661983964102,0,5044.192,0.60277784, Maintain / Monitor,Stable Customer,563
1,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.55,70.55,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,35.275,70.55,14.91,1,2,1,70.55,1,0,1,0,1,Low Value New,0.8255474048302892,1,166.49246,0.06972102, Retention Campaign (Email / Promotion),At-Risk Low Value,564
0,1,0,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Credit card (automatic),86.15,2745.7,1,True,False,False,False,True,False,False,True,False,False,2-4 years,1,80.75588235294117,86.15,27.630000000000003,0,2,0,2842.9500000000003,1,0,1,0,1,Low Value New,0.4111784254063784,1,2486.5132,0.32326326, Maintain / Monitor,Stable Customer,565
0,1,0,1,Yes,Fiber optic,No,No,No,No,No,Yes,month-to-month,1,Electronic check,85.0,2624.25,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,84.65322580645162,85.0,26.5,0,2,1,2550.0,1,0,1,0,1,Low Value New,0.5460063244397756,1,2530.5613,0.32807702, Maintain / Monitor,Stable Customer,566
0,0,0,1,No,Fiber optic,No,No,No,No,No,Yes,month-to-month,0,Electronic check,80.55,184.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,61.36666666666667,80.55,17.21,1,2,1,161.1,1,0,1,0,1,Low Value New,0.6910234786197668,1,194.20152,0.07274919, Retention Campaign (Email / Promotion),At-Risk Low Value,567
0,0,0,1,No,Fiber optic,No,No,Yes,No,No,No,month-to-month,1,Electronic check,75.8,160.75,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,53.583333333333336,75.8,16.26,1,2,1,151.6,1,0,1,0,1,Low Value New,0.759896652013493,1,320.94257,0.08660002, Retention Campaign (Email / Promotion),At-Risk Low Value,568
1,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,98.5,3004.15,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,100.13833333333334,98.5,28.9,0,2,1,2856.5,1,0,1,0,0,High Value Loyal,0.6435732474261405,1,3840.7693,0.47126245, Retention Campaign (Email / Promotion),At-Risk Low Value,569
1,1,0,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,95.25,1233.65,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,88.11785714285715,95.25,23.450000000000003,0,2,1,1238.25,1,0,1,0,1,Low Value New,0.7459384045164349,1,3247.0579,0.40637898, Retention Campaign (Email / Promotion),At-Risk Low Value,570
1,1,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,74.4,527.9,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,65.9875,74.4,17.480000000000004,1,2,0,520.8000000000001,1,0,1,0,1,Low Value New,0.6296395738926037,1,310.15472,0.08542108, Retention Campaign (Email / Promotion),At-Risk Low Value,571
0,0,0,1,No,Fiber optic,No,No,No,Yes,Yes,No,month-to-month,0,Electronic check,85.15,2555.9,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,82.4483870967742,85.15,26.53,0,2,1,2554.5,1,0,1,0,1,Low Value New,0.404723983541687,1,2490.2136,0.32366768, Maintain / Monitor,Stable Customer,572
1,0,0,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,month-to-month,1,Electronic check,88.55,179.25,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,59.75,88.55,18.81,1,2,1,177.1,1,0,1,0,1,Low Value New,0.8525285840248543,1,368.11954,0.091755725, Retention Campaign (Email / Promotion),At-Risk Low Value,573
0,1,1,1,Yes,DSL,Yes,No,No,No,No,No,month-to-month,0,Electronic check,54.75,1338.15,1,True,False,False,True,False,False,False,False,True,False,1-2 years,1,53.526,54.75,18.65,0,2,1,1314.0,1,0,1,0,1,Low Value New,0.0763923927650109,0,1687.2659,0.23591794, Maintain / Monitor,Stable Customer,574
1,0,0,1,No,Fiber optic,No,No,No,No,Yes,Yes,month-to-month,1,Electronic check,91.3,91.3,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,45.65,91.3,19.06,1,2,1,91.3,1,0,1,0,1,Low Value New,0.9202242144307546,1,404.0821,0.095685884, Retention Campaign (Email / Promotion),At-Risk Low Value,575
0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,79.5,79.5,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,39.75,79.5,16.7,1,2,1,79.5,1,0,1,0,1,Low Value New,0.8690538866417093,1,352.15414,0.090010956, Retention Campaign (Email / Promotion),At-Risk Low Value,576
1,1,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,70.1,467.55,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,58.44375,70.1,16.62,1,2,0,490.69999999999993,1,0,1,0,1,Low Value New,0.6297805669029798,1,303.09485,0.08464953, Retention Campaign (Email / Promotion),At-Risk Low Value,577
0,1,0,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,one year,1,Electronic check,111.3,7482.1,1,False,True,False,False,True,False,False,False,True,False,4-6 years,1,110.03088235294118,111.3,42.86,0,1,1,7457.099999999999,1,0,1,0,0,High Value Loyal,0.4186003495247092,1,6910.6904,0.80675715, Upsell / Premium Offer,Loyal High Value,578
1,1,0,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,month-to-month,1,Bank transfer (automatic),95.25,5427.05,1,True,False,False,False,True,False,True,False,False,False,4-6 years,1,93.5698275862069,95.25,36.65,0,2,0,5429.25,1,0,1,0,0,High Value Loyal,0.4436050989959967,1,4968.257,0.5944793, Maintain / Monitor,Stable Customer,579
0,1,0,1,No,Fiber optic,No,No,Yes,No,Yes,No,month-to-month,1,Electronic check,86.25,587.1,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,73.3875,86.25,19.85,1,2,1,603.75,1,0,1,0,1,Low Value New,0.7810550350808675,1,348.99216,0.089665405, Retention Campaign (Email / Promotion),At-Risk Low Value,580
1,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,100.8,100.8,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,50.4,100.8,20.96,1,2,1,100.8,1,0,1,0,1,Low Value New,0.9586905309658796,1,520.5173,0.10841044, Retention Campaign (Email / Promotion),At-Risk Low Value,581
0,0,0,1,No,Fiber optic,No,Yes,No,No,No,Yes,month-to-month,1,Electronic check,86.3,1180.95,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,78.73,86.3,21.96,0,2,1,1208.2,1,0,1,0,1,Low Value New,0.6203005171932737,1,2095.4094,0.2805217, Retention Campaign (Email / Promotion),At-Risk Low Value,582
0,0,0,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,month-to-month,1,Electronic check,89.95,2625.55,1,True,False,False,False,True,False,False,False,True,False,2-4 years,1,90.53620689655172,89.95,26.89,0,2,1,2518.6,1,0,1,0,1,Low Value New,0.5125126473520437,1,2384.3245,0.3120956, Maintain / Monitor,Stable Customer,583
1,1,0,1,No,Fiber optic,No,Yes,No,No,No,No,month-to-month,1,Electronic check,76.45,1233.4,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,68.52222222222223,76.45,20.89,0,2,1,1299.65,1,0,1,0,1,Low Value New,0.623460783137493,1,2063.7292,0.27705953, Retention Campaign (Email / Promotion),At-Risk Low Value,584
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,70.0,740.0,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,67.27272727272727,70.0,17.5,1,2,1,700.0,1,0,1,0,1,Low Value New,0.5333403971080158,1,168.70082,0.06996236, Maintain / Monitor,Stable Customer,585
0,0,0,1,Yes,DSL,Yes,Yes,No,Yes,No,No,one year,1,Mailed check,64.4,2088.75,1,False,True,False,True,False,False,False,False,False,True,2-4 years,1,59.67857142857143,64.4,23.58,0,1,0,2189.6000000000004,1,0,1,0,1,Low Value New,0.1448774870847423,0,2499.4114,0.32467282, Maintain / Monitor,Stable Customer,586
0,1,0,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,month-to-month,1,Electronic check,102.45,102.45,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,51.225,102.45,21.290000000000003,1,2,1,102.45,1,0,1,0,1,Low Value New,0.9596601979512468,1,36.597443,0.05552551, Retention Campaign (Email / Promotion),At-Risk Low Value,587
0,0,0,1,No,Fiber optic,No,No,Yes,Yes,No,No,month-to-month,0,Credit card (automatic),80.1,217.55,1,True,False,False,False,True,False,False,True,False,False,0-1 year,1,54.3875,80.1,17.419999999999998,1,2,0,240.3,1,0,1,0,1,Low Value New,0.6637742179411472,1,230.27505,0.07669146, Retention Campaign (Email / Promotion),At-Risk Low Value,588
0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,80.2,146.05,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,48.68333333333334,80.2,17.140000000000004,1,2,1,160.4,1,0,1,0,1,Low Value New,0.8310866395308456,1,211.74109,0.074665986, Retention Campaign (Email / Promotion),At-Risk Low Value,589
0,0,0,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,month-to-month,1,Bank transfer (automatic),98.15,567.45,1,True,False,False,False,True,False,True,False,False,False,0-1 year,1,81.06428571428572,98.15,21.930000000000003,1,2,0,588.9000000000001,1,0,1,0,1,Low Value New,0.7572285231299318,1,332.83047,0.08789918, Retention Campaign (Email / Promotion),At-Risk Low Value,590
0,0,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,month-to-month,1,Mailed check,112.95,1384.75,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,106.51923076923076,112.95,26.690000000000005,1,2,0,1355.4,1,0,1,0,1,Low Value New,0.7419770429677784,1,1298.7032,0.19345407, Retention Campaign (Email / Promotion),At-Risk Low Value,591
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,0,Mailed check,70.9,70.9,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.45,70.9,14.980000000000002,1,2,0,70.9,1,0,1,0,1,Low Value New,0.6988598424575858,1,133.86073,0.06615488, Retention Campaign (Email / Promotion),At-Risk Low Value,592
1,0,0,1,No,Fiber optic,No,No,Yes,No,Yes,No,month-to-month,1,Electronic check,86.85,220.95,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,55.2375,86.85,18.77,1,2,1,260.54999999999995,1,0,1,0,1,Low Value New,0.8567313105045138,1,240.76036,0.07783735, Retention Campaign (Email / Promotion),At-Risk Low Value,593
0,1,0,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,month-to-month,1,Electronic check,99.85,2331.3,1,True,False,False,False,True,False,False,False,True,False,1-2 years,1,97.1375,99.85,27.37,0,2,1,2296.55,1,0,1,0,1,Low Value New,0.696556272597473,1,3505.86,0.43466204, Retention Campaign (Email / Promotion),At-Risk Low Value,594
0,1,0,1,Yes,Fiber optic,No,No,No,No,No,No,month-to-month,1,Electronic check,74.5,74.5,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,37.25,74.5,15.7,1,2,1,74.5,1,0,1,0,1,Low Value New,0.8775111226692133,1,279.59753,0.082081646, Retention Campaign (Email / Promotion),At-Risk Low Value,595
0,0,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,month-to-month,1,Electronic check,109.15,6941.2,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,105.16969696969696,109.15,41.83,0,2,1,7094.75,1,0,1,0,0,High Value Loyal,0.5454443330732104,1,6938.2915,0.8097735, Upsell / Premium Offer,Loyal High Value,596
0,0,0,1,Yes,DSL,No,No,Yes,No,No,Yes,month-to-month,1,Credit card (automatic),65.2,1043.35,1,True,False,False,True,False,False,False,True,False,False,1-2 years,1,61.3735294117647,65.2,18.34,0,2,0,1043.2,1,0,1,0,1,Low Value New,0.3580730467658066,1,1471.352,0.2123219, Maintain / Monitor,Stable Customer,597
1,1,0,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,month-to-month,1,Credit card (automatic),99.5,6822.15,1,True,False,False,False,True,False,False,True,False,False,4-6 years,1,101.8231343283582,99.5,40.2,0,2,0,6567.0,1,0,1,0,0,High Value Loyal,0.4138556052759128,1,4921.2593,0.5893432, Maintain / Monitor,Stable Customer,598
0,0,0,1,No,Fiber optic,No,No,No,No,No,No,month-to-month,1,Mailed check,71.55,71.55,1,True,False,False,False,True,False,False,False,False,True,0-1 year,1,35.775,71.55,15.11,1,2,0,71.55,1,0,1,0,1,Low Value New,0.7737699351738644,1,396.85452,0.09489602, Retention Campaign (Email / Promotion),At-Risk Low Value,599
0,1,0,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,month-to-month,0,Electronic check,93.9,5029.2,1,True,False,False,False,True,False,False,False,True,False,4-6 years,1,93.13333333333333,93.9,35.18,0,2,1,4976.700000000001,1,0,1,0,0,High Value Loyal,0.4226090871388421,1,3758.0725,0.462225, Maintain / Monitor,Stable Customer,600
1,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,two year,1,Bank transfer (automatic),108.4,7318.2,1,False,False,True,False,True,False,True,False,False,False,4-6 years,1,104.54571428571428,108.4,42.88,0,0,0,7479.6,1,0,1,0,0,High Value Loyal,0.1913522644623328,0,7598.5293,0.88192725, Upsell / Premium Offer,Loyal High Value,601
0,1,0,0,No,DSL,No,No,Yes,No,Yes,Yes,month-to-month,1,Bank transfer (automatic),48.75,633.4,1,True,False,False,True,False,False,True,False,False,False,1-2 years,0,45.24285714285714,48.75,13.65,0,2,0,633.75,1,0,1,0,3,Premium Customers,0.5937923943120601,1,1421.1167,0.20683196, Maintain / Monitor,Stable Customer,602
0,0,0,1,Yes,Fiber optic,No,No,No,No,Yes,No,month-to-month,1,Electronic check,85.65,321.65,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,64.33,85.65,18.83,1,2,1,342.6,1,0,1,0,1,Low Value New,0.7901691005501483,1,298.61786,0.084160276, Retention Campaign (Email / Promotion),At-Risk Low Value,603
0,0,0,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,month-to-month,1,Electronic check,106.7,1253.9,1,True,False,False,False,True,False,False,False,True,False,0-1 year,1,96.45384615384616,106.7,25.440000000000005,1,2,1,1280.4,1,0,1,0,1,Low Value New,0.7924490631772848,1,135.78706,0.0663654, Retention Campaign (Email / Promotion),At-Risk Low Value,604
0,0,0,0,No,DSL,No,No,No,No,No,No,month-to-month,1,Electronic check,25.15,25.15,1,True,False,False,True,False,False,False,False,True,False,0-1 year,0,12.575,25.15,5.33,1,2,1,25.15,1,0,1,0,3,Premium Customers,0.650086120077284,1,63.76805,0.058494836, Retention Campaign (Email / Promotion),At-Risk Low Value,605
0,1,0,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,one year,0,Electronic check,110.35,5893.15,1,False,True,False,False,True,False,False,False,True,False,4-6 years,1,107.1481818181818,110.35,38.77,0,1,1,5958.9,1,0,1,0,0,High Value Loyal,0.3857059584638178,1,6003.9443,0.7076639, Upsell / Premium Offer,Loyal High Value,606
0,1,0,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,one year,1,Credit card (automatic),103.25,5037.55,1,False,True,False,False,True,False,False,True,False,False,2-4 years,1,102.80714285714286,103.25,35.55,0,1,0,4956.0,1,0,1,0,0,High Value Loyal,0.3422408392785982,0,5858.766,0.69179815, Maintain / Monitor,Stable Customer,607
